Product_ID,Product_Name,Category,Supplier,Warehouse_Location,Stock_In,Stock_Out,Expected_Stock,Current_Stock,Date
1,SSD,Storage,HP,C3,126,36,90,85,2025-10-21
2,GPU,Components,Lenovo,B1,72,39,33,14,2025-09-09
3,Printer,Electronics,Lenovo,C3,203,26,177,192,2025-12-13
4,CPU,Components,Samsung,C3,171,168,3,14,2025-08-13
5,Keyboard,Accessories,Samsung,C1,356,247,109,117,2026-04-21
6,CPU,Components,HP,A3,109,19,90,82,2025-08-02
7,Hard Disk,Storage,Logitech,C1,340,297,43,40,2025-09-20
8,Scanner,Electronics,Lenovo,B1,424,386,38,44,2026-05-13
9,GPU,Components,HP,C1,78,69,9,20,2025-07-25
10,Hard Disk,Storage,Dell,A1,90,50,40,57,2026-01-20
11,CPU,Components,Lenovo,B2,168,148,20,5,2025-07-08
12,RAM,Components,Dell,C2,315,137,178,176,2025-10-31
13,Projector,Electronics,HP,C1,69,49,20,37,2025-07-12
14,Monitor,Electronics,Samsung,B2,234,85,149,151,2025-12-19
15,Hard Disk,Storage,HP,A1,330,177,153,155,2026-05-24
16,CPU,Components,Dell,C2,130,27,103,120,2025-12-18
17,SSD,Storage,HP,B1,255,53,202,211,2025-11-30
18,Hard Disk,Storage,Lenovo,C2,198,22,176,157,2025-09-28
19,Projector,Electronics,HP,B1,162,102,60,42,2025-07-15
20,Projector,Electronics,Lenovo,C1,368,114,254,262,2025-10-17
21,RAM,Components,Dell,B1,391,58,333,350,2026-01-22
22,Keyboard,Accessories,Logitech,B1,414,105,309,293,2025-11-09
23,Monitor,Electronics,Dell,B3,339,308,31,13,2026-05-08
24,Projector,Electronics,Samsung,B2,466,377,89,85,2025-10-04
25,Router,Networking,Samsung,A3,433,157,276,285,2026-02-26
26,RAM,Components,Logitech,C1,324,22,302,309,2025-08-16
27,Printer,Electronics,Dell,B3,187,52,135,153,2025-11-07
28,Scanner,Electronics,HP,C2,94,45,49,52,2026-04-01
29,Scanner,Electronics,HP,B2,123,118,5,9,2025-08-22
30,Hard Disk,Storage,HP,C1,185,87,98,110,2026-03-30
31,GPU,Components,Samsung,A1,128,21,107,117,2025-08-23
32,Keyboard,Accessories,Dell,B3,425,247,178,186,2025-12-29
33,Keyboard,Accessories,HP,C1,177,93,84,101,2026-01-21
34,Scanner,Electronics,Dell,B1,297,199,98,89,2026-02-05
35,Mouse,Accessories,Samsung,B2,100,23,77,58,2026-05-02
36,Projector,Electronics,HP,A2,81,15,66,57,2026-02-19
37,Mouse,Accessories,Logitech,C3,359,347,12,-2,2025-09-24
38,GPU,Components,Logitech,B3,239,126,113,131,2025-11-24
39,Scanner,Electronics,Logitech,C2,226,86,140,143,2026-06-02
40,GPU,Components,Logitech,B1,119,22,97,84,2025-10-08
41,Mouse,Accessories,Lenovo,A3,196,189,7,-4,2026-05-12
42,Router,Networking,Logitech,C2,239,88,151,135,2025-09-05
43,Router,Networking,Dell,C3,349,258,91,85,2025-06-29
44,Speaker,Electronics,Lenovo,A2,362,168,194,188,2025-12-25
