Product_ID,Product_Name,Category,Supplier,Warehouse_Location,Stock_In,Stock_Out,Expected_Stock,Current_Stock,Date,Difference,Inventory_Status,Movement_Rate,Movement_Status
1,SSD,Storage,HP,C3,126,36,90,85,2025-10-21,-5,Normal,0.2857142857142857,Normal
2,GPU,Components,Lenovo,B1,72,39,33,14,2025-09-09,-19,Missing Inventory,0.5416666666666666,Normal
3,Printer,Electronics,Lenovo,C3,203,26,177,192,2025-12-13,15,Normal,0.12807881773399016,Slow Moving
4,CPU,Components,Samsung,C3,171,168,3,14,2025-08-13,11,Normal,0.9824561403508771,Fast Moving
5,Keyboard,Accessories,Samsung,C1,356,247,109,117,2026-04-21,8,Normal,0.6938202247191011,Normal
6,CPU,Components,HP,A3,109,19,90,82,2025-08-02,-8,Normal,0.1743119266055046,Slow Moving
7,Hard Disk,Storage,Logitech,C1,340,297,43,40,2025-09-20,-3,Normal,0.8735294117647059,Fast Moving
8,Scanner,Electronics,Lenovo,B1,424,386,38,44,2026-05-13,6,Normal,0.910377358490566,Fast Moving
9,GPU,Components,HP,C1,78,69,9,20,2025-07-25,11,Normal,0.8846153846153846,Fast Moving
10,Hard Disk,Storage,Dell,A1,90,50,40,57,2026-01-20,17,Overstock,0.5555555555555556,Normal
11,CPU,Components,Lenovo,B2,168,148,20,5,2025-07-08,-15,Normal,0.8809523809523809,Fast Moving
12,RAM,Components,Dell,C2,315,137,178,176,2025-10-31,-2,Normal,0.43492063492063493,Normal
13,Projector,Electronics,HP,C1,69,49,20,37,2025-07-12,17,Overstock,0.7101449275362319,Normal
14,Monitor,Electronics,Samsung,B2,234,85,149,151,2025-12-19,2,Normal,0.36324786324786323,Normal
15,Hard Disk,Storage,HP,A1,330,177,153,155,2026-05-24,2,Normal,0.5363636363636364,Normal
16,CPU,Components,Dell,C2,130,27,103,120,2025-12-18,17,Overstock,0.2076923076923077,Normal
17,SSD,Storage,HP,B1,255,53,202,211,2025-11-30,9,Normal,0.20784313725490197,Normal
18,Hard Disk,Storage,Lenovo,C2,198,22,176,157,2025-09-28,-19,Missing Inventory,0.1111111111111111,Slow Moving
19,Projector,Electronics,HP,B1,162,102,60,42,2025-07-15,-18,Missing Inventory,0.6296296296296297,Normal
20,Projector,Electronics,Lenovo,C1,368,114,254,262,2025-10-17,8,Normal,0.30978260869565216,Normal
21,RAM,Components,Dell,B1,391,58,333,350,2026-01-22,17,Overstock,0.1483375959079284,Slow Moving
